intent,range,defense,fps,result,dense_result,min_dense_gap_m
LeadOverhand,1.50,2,60,MISS,MISS,0.529852
LeadOverhand,1.50,2,120,MISS,MISS,0.529852
LeadOverhand,0.94,0,15,BLOCK,BLOCK,-0.036093
LeadOverhand,0.94,0,30,BLOCK,BLOCK,-0.036093
LeadOverhand,0.94,0,60,BLOCK,BLOCK,-0.036093
LeadOverhand,0.94,0,120,BLOCK,BLOCK,-0.036093
LeadOverhand,0.94,1,15,MISS,MISS,0.059965
LeadOverhand,0.94,1,30,MISS,MISS,0.059965
LeadOverhand,0.94,1,60,MISS,MISS,0.059965
LeadOverhand,0.94,1,120,MISS,MISS,0.059965
LeadOverhand,0.94,2,15,MISS,MISS,0.026255
LeadOverhand,0.94,2,30,MISS,MISS,0.026255
LeadOverhand,0.94,2,60,MISS,MISS,0.026255
LeadOverhand,0.94,2,120,MISS,MISS,0.026255
LeadOverhand,0.69,0,15,HIT,HIT,-0.158985
LeadOverhand,0.69,0,30,HIT,HIT,-0.158985
LeadOverhand,0.69,0,60,HIT,HIT,-0.158985
LeadOverhand,0.69,0,120,HIT,HIT,-0.158985
LeadOverhand,0.69,1,15,HIT,HIT,-0.158985
LeadOverhand,0.69,1,30,HIT,HIT,-0.158985
LeadOverhand,0.69,1,60,HIT,HIT,-0.158985
LeadOverhand,0.69,1,120,HIT,HIT,-0.158985
LeadOverhand,0.69,2,15,HIT,HIT,-0.087450
LeadOverhand,0.69,2,30,HIT,HIT,-0.087450
LeadOverhand,0.69,2,60,HIT,HIT,-0.087450
LeadOverhand,0.69,2,120,HIT,HIT,-0.087450
RearOverhand,1.50,0,15,MISS,MISS,0.411015
RearOverhand,1.50,0,30,MISS,MISS,0.411015
RearOverhand,1.50,0,60,MISS,MISS,0.411015
RearOverhand,1.50,0,120,MISS,MISS,0.411015
RearOverhand,1.50,1,15,MISS,MISS,0.610759
RearOverhand,1.50,1,30,MISS,MISS,0.610759
RearOverhand,1.50,1,60,MISS,MISS,0.610759
RearOverhand,1.50,1,120,MISS,MISS,0.610759
RearOverhand,1.50,2,15,MISS,MISS,0.524741
RearOverhand,1.50,2,30,MISS,MISS,0.524741
RearOverhand,1.50,2,60,MISS,MISS,0.524741
RearOverhand,1.50,2,120,MISS,MISS,0.524741
RearOverhand,0.94,0,15,BLOCK,BLOCK,-0.056507
RearOverhand,0.94,0,30,BLOCK,BLOCK,-0.056507
RearOverhand,0.94,0,60,BLOCK,BLOCK,-0.056507
RearOverhand,0.94,0,120,BLOCK,BLOCK,-0.056507
RearOverhand,0.94,1,15,MISS,MISS,0.059965
RearOverhand,0.94,1,30,MISS,MISS,0.059965
RearOverhand,0.94,1,60,MISS,MISS,0.059965
RearOverhand,0.94,1,120,MISS,MISS,0.059965
RearOverhand,0.94,2,15,MISS,MISS,0.010892
RearOverhand,0.94,2,30,MISS,MISS,0.010892
RearOverhand,0.94,2,60,MISS,MISS,0.010892
RearOverhand,0.94,2,120,MISS,MISS,0.010892
RearOverhand,0.69,0,15,HIT,HIT,-0.158985
RearOverhand,0.69,0,30,HIT,HIT,-0.158985
RearOverhand,0.69,0,60,HIT,HIT,-0.158985
RearOverhand,0.69,0,120,HIT,HIT,-0.158985
RearOverhand,0.69,1,15,HIT,HIT,-0.158985
RearOverhand,0.69,1,30,HIT,HIT,-0.158985
RearOverhand,0.69,1,60,HIT,HIT,-0.158985
RearOverhand,0.69,1,120,HIT,HIT,-0.158985
RearOverhand,0.69,2,15,BLOCK,BLOCK,-0.052800
RearOverhand,0.69,2,30,BLOCK,BLOCK,-0.052800
RearOverhand,0.69,2,60,BLOCK,BLOCK,-0.052800
RearOverhand,0.69,2,120,BLOCK,BLOCK,-0.052800
